objectid,title,translated_title,type,display_template,language,creator,description,date,subject,committee_member,object_location,source,rights,thesis_degree,thesis_degree_level,thesis_degree_discipline,thesis_degree_grantor
etd_0001,Encouraging Ethical Behaviour through Design: A design process,,Master's Thesis,pdf,en,Mallaa A. Alamoudi,"The phrase social responsibility appears with the word design because of the visual
power of design to publicize information and knowledge. Design and social responsibility is a
controversial topic in the filed of graphic design because some designers prefer to stay neutral
toward social topics around them while other designers encourage utilizing the visual power of
design to solve and promote social issues for the purpose of change. Above all, Design and
social responsibility is usually limited by three areas: green design, designing for charitable
organizations and reframing from designing for companies that either through the process or
from their final product do harm to people. In my design work, supported by the investigation
of the operational terms of the problem, the articulation of the research question and objectives,
the introductory sketching phase, the visual research, the design approaches and the user testing
feedback demonstrate a design process that can be utilized by others in the practice of design to
be more socially responsible. The findings and outcomes of this research aim to create a
practical guide for designers, design students and individuals interested in the filed of design and
social responsibility.",2016,Design; Social change,,https://yorkspace.library.yorku.ca/bitstreams/dffbe1b4-227f-4958-8014-bbc1402f65a7/download,,"© Mallaa Alamoudi, 2016",Master of Design,Masters,Design,"York University (Toronto, Ont.)"
etd_0002,Handcraft as a Rhetorical Prop: An Investigation into What Handcraft Techniques Offer the Discipline of Graphic Design.,,Master's Thesis,pdf,en,Saskia van Kampen,"This thesis paper examines how handcraft (making an item by analog means using specific materials)
can be a compelling rhetorical tool for graphic designers to harness. Contrasting handcraft techniques
with computer graphics software “unsettles” rote graphic design practices. The meaning that
lies in the physical act of making, the materials that are used and the contexts with which particular
handcrafts are associated can support, as well as carry, visual rhetoric in design works.
An analysis of the unconventional handcraft work produced by Stefan Sagmeister (USA), Mathias
Augustyniak and Michaël Amzalag of M/M (Paris) (France), Marian Bantjes (Canada), and by this
author (specifically, a design book produced in tandem with this paper) is used to demonstrate how
complex meanings contained within handcrafts can be revealed and used in graphic design. The
combination of handcraft and digital techniques enables designers to interweave the disparate social,
physical and material qualities of the two processes into their work. In this way the work engages in
disciplinary and societal discourse.",2014,Handicraft; Visual communication; Graphic arts—Social aspects,David Cabianca (Supervisor); Sandra Gabriele,https://yorkspace.library.yorku.ca/bitstreams/4968ded7-7187-4457-bc65-d7a1ad1f9236/download,,"© Saskia van Kampen, 2014",Master of Design,Masters,Design,"York University (Toronto, Ont.)"
etd_0003,La typographie à l'ère postmoderne,Typography in the Postmodern Era,Doctoral Dissertation,pdf,fr,Alexandra Aïn,,2018,Postmodernism; Graphic arts—History—20th century; Visual communication,Cécile Croce (Directrice de Thèse); Caroline Courbières; Bernard Lafargue; Xavier Lambert; Vivien Philizot; Emmanuel Souchier,https://theses.hal.science/tel-02002050v1/document,,,Doctorat En Arts,Doctorate,Arts,Université Bordeaux Montaigne
etd_0004,Building Character through Type,,Master's Thesis,pdf,en,Eli Marco Hall,"Typography, the art of designing with type began in the West around 1455 when
Johannes Gutenberg perfected the craft of printing from individual pieces of type.
Typography is the graphic designer’s domain. It is the vehicle that clearly communicates
a message. The expectations of designers are increasingly broadened, and as a result less
time is given to understanding the craft. In my professional experience typography has
broken down into five specific categories: calligraphy, hand lettering, type design, print
design and digital design. Calligraphy is the art of writing, while hand lettering is the art
of crafting specific characters for a particular goal. Type design is the creation of an
alphabet including all of its characters numbers and glyphs. Print design ranges from
movable type to any type where the intended output is print, whereas digital design has
been created specifically for digital use. Today’s designers are exposed to digital type
from the beginnings of their educations. The lack of working, creating and experiencing
type in the physical realm combined with the access to thousands of poorly designed
typefaces has muddied the understanding of type. In this work, my intent is to expand
my knowledge of typography through hand lettering combined with site-specific
installations. Within the field of graphic design, typography is the most important
element and the hardest to master, therefore it is imperative to learn type through a
tactile process. The information you receive through a physical relationship is
substantially different than the insight you would receive through an abstract experience.",2011,Visual communication; Lettering; Calligraphy; Graphic design (Typography),John Gravdahl (Advisor); Cyane Tornatzky (Co-Advisor); Thomas Lundberg; Eleanor Moseman; Donna Rouner; Gary Voss,https://mountainscholar.org/bitstreams/b732e985-79c9-46aa-bd75-9a6796f4d381/download,,"Copyright by Eli Marco Hall 2011All Rights Reserved",Master of Fine Arts,Masters,Fine Arts,Colorado State University
etd_0005,Reflip Type: Developing Visual Strategies for Teaching Typography to Collegiate Students with Dyslexia,,Master's Thesis,pdf,en,Brittany Strozzo,"In educational facilities today, the approaches to teaching typography to college
students with dyslexia are limited. This thesis provides a research-based pedagogy for
teaching typography to students in a way that accommodates the visual, processing,
and auditory differences present in students with dyslexia. Through the analysis of
the learning disability itself, existing material for graphic designers with dyslexia, and
current accessibility standards for those with dyslexia, this thesis offers a practical
solution to provide a more balanced learning experience for all students, especially
those with dyslexia. The aim of this study was to examine the current graphic design
standards and refocus and modify them for ease of readability for all individuals,
especially those with dyslexia.",2021,Visual communication; Graphic design (Typography); Graphic arts; Dyslexia,Rachel Ashley Dugan (Committee Chair); Sarah Lynn Hoyt (First Reader); Andrea Leigh Brake (Second Reader); A. Todd Smith (Department Chair),https://digitalcommons.liberty.edu/cgi/viewcontent.cgi?article=1816&context=masters,,© 2021 Brittany Strozzo,Master of Fine Arts,Masters,Graphic Design,Liberty University
etd_0006,Some Visual Elements in Typography: A Study Using Original Works,,Master's Thesis,pdf,en,Penny Dorfman,,1978,Graphic design (Typography); Lettering; Visual communication; Education,,https://dr.lib.iastate.edu/bitstreams/ae74f51d-298a-4eaf-9930-d7553c5aacdc/download,Iowa State University Digital Repository,© 1978 Penny Dorfman,Masters of Arts,Masters,Applied Art Department,Iowa State University
etd_0007,Tipografia pintada no Centro do Rio de Janeiro,Typography painted in downtown Rio de Janeiro,Doctoral Dissertation,pdf,pt,Vinicius Freitas da Silva Guimarães,"Esta pesquisa tem como objetivo analisar a tipografia pintada no centro da cidade do Rio de Janeiro. A escolha da área de pesquisa busca mensurar a importância da pintura manual como técnica de produção de elementos tipográficos na paisagem urbana de um bairro central de uma grande cidade, bem como a situação atual do ofício dos pintores de letras, principais responsáveis pela sua produção. Foi realizado um levantamento fotográfico extensivo por toda área, assim como uma série de entrevistas com os pintores. Uma revisão bibliográfica buscou identificar onde outros trabalhos dessa natureza são contextualizados à luz da teoria do design, principalmente através da investigação do vernacular como categoria analítica. Foram buscadas referências históricas relacionadas ao ofício da pintura de letras, a fim de comparações com o discurso dos pintores atuais, do qual foram apropriados elementos que, juntamente com a teoria do design e da tipografia, foram utilizados para a construção de um sistema de análise, que incluiu entre suas diretrizes a produção de dados quantitativos que permitam identificar os recursos mais recorrentes que constituem a linguagem gráfica pesquisada.",2011,Graphic design (Typography); Rio de Janeiro (Brazil)--History; Graphic arts; Painted signs and signboards,Washington Dias Lessa (Orientador); Marcos André Franco Martins; Suzana Valladares Fonseca,https://www.bdtd.uerj.br:8443/bitstream/1/9091/1/Vinicius%20Freitas%20da%20Silva%20Guimaraes_parcial.pdf,Universidade do Estado do Rio de Janeiro,,Mestre ao Programa de Pós-graduação em Design,Masters,Design,Universidade do Estado do Rio de Janeiro
etd_0008,"The ""New"" new typography?: A Critical view of the state of typography",,Master's Thesis,pdf,en,Joseph DiGioia,,1995,Graphic design (Typography); Graphic arts; Graphic arts—History—20th century; Lettering; Visual communication,R. Roger Remington (Advisor); Richard Zakia (Associate Advisor); Bruce Ian Meader (Associate Advisor); Mary Ann Begland (Department Chair),https://scholarworks.rit.edu/context/theses/article/7258/viewcontent/JDiGioaThesis05_1995.pdf,RIT Digital Institutional Repository,© 1995 Joseph A DiGioia,Master of Fine Arts,Masters,Graphic Design,Rochester Institute of Technology
etd_0009,"Pliant type: Development and temporal manipulation of expressive, malleable typography",,Bachelor's Thesis,pdf,en,Peter Cho,"Text is not limited to static presentation in digital communication. Past research into temporal typography has focused on changing the size, orientation, color, and position of typographic forms while keeping the letterforms themselves intact. This thesis proposes pliant type as an area of study within temporal typography in which letterforms are malleable shapes which can move in expressive ways. This thesis presents a shape representation for type which allows the manipulation of typographic shapes on a basic level. Two shape representations have been imple-mented: outline and skeletal. In pliant type design experiments, letterforms are created using a shape builder. These shapes then are manipulated through interaction with the user and with computational engines. Pliant type suggests new ideas for expressive visual communica-tion. The research contributes to a broader understanding of temporal typographic design.",1997,Graphic design (Typography); Visual communication; Lettering,John Maeda (Thesis Supervisor),https://dspace.mit.edu/bitstream/handle/1721.1/10553/37949360-MIT.pdf?sequence=2&isAllowed=y,Massachusetts Institute of Technology,"© 1997 MIT
All rights reserved",Bachelor of Science,Bachelors,Mechanical Engineering,Massachusetts Institute of Technology
etd_0010,Developing a practice-led framework to promote the practise and understanding of typography across different media,,Doctoral Dissertation,pdf,en,Joyce Sheau Roei Yee,"This study presents a pedagogic framework that offers a new approach, structure and content for the teaching, understanding and application of typography in cross-media communication environments. Current theory and vocabulary used to describe typographic practice and scholarship are based on a historically print-derived framework. As yet, no new paradigm has emerged to address the divergent path that screen-based typography has taken from its traditional print medium. This study argues that the current model of typographic education is unable to provide design students with appropriate models, concepts and grammar to explore the potential of typography in screen-based media. Hence, a re-evaluation of the current framework is proposed in order to develop new approaches that will reduce misappropriation of typographic principles and aesthetic values in screen-based media.

This study is composed of three research stages. Stage One (consisting of a literature and design application review) was used to develop an understanding of the current typographic application in screen-based media. Stage Two (consisting of a questionnaire survey and in-depth interviews) was used to investigate the relevance of current typographic knowledge in relation to screen-based media. Additionally, this stage helped identify critical issues surrounding current and future typographic practice. Findings from Stages One and Two were used as a basis to develop a new framework. This framework was subsequently tested and refined in Stage Three through action research projects (with Graphic and New Media design students) and peer reviews (with design educators and professional practitioners). The final framework consists of six key attributes: an integrated model of knowledge, cross-media skills, cross-disciplinary influences, it is communication-focused, flexible and adaptable. It reflects a future model of a convergent media, not a continued separation of print and screen. This framework consists of two distinct areas of knowledge: Global Skills (Form, Content, Expression and Context) and Specialist Skills (Hyper-textuality, Interactivity, Temporality and Usability).

It is concluded that the approach and knowledge-base used to teach typography must be modified to reflect the challenges posed by media convergence, where transferable global skills are emphasised across a range of media. Typography's knowledge base has to be expanded to include specialist skills derived from technological and social changes in communication technologies. The principal contributions of the study are: the identification of transferable global typographic skills; the introduction of specialist design skills required for effective cross-media type application; presentation of an integrated model of typographic knowledge and practice; a curriculum guide aimed at helping design educators plan and deliver typography in graphic and multimedia programmes, strategies and approaches to help designers remediate their print-derived knowledge and lastly, as a subject reference guide for visual communication design students.

The framework is not offered as an absolute representation of western-based typographic knowledge for cross-media application but instead should be considered as a signpost to help understand the current transition of knowledge between print and screen. Additionally, this framework has been developed and tested within a single educational environment. As a result, variations in teaching and learning styles were not taken into account. Audiences are urged to treat the framework as a 'work-in-progress' model that can be refined through additional field-testing in other educational environments. And finally, the application of the framework within a professional practice environment would require a comprehensive review of practice-based concerns and a further simplification of the framework.",2006,Graphic design (Typography); Graphic arts—Social aspects; Graphic arts—History—20th century,Robert Young (Principal Supervisor); Ted Carden (Subject Supervisor),https://researchportal.northumbria.ac.uk/ws/portalfiles/portal/177390025/JoyceYeeThesisUNN,Northumbria Research Link,© Joyce Sheau Roei Yee,Doctor of Philosophy,Doctorate,Philosophy,University of Northumbria at Newcastle
